,size,timing,k,circles
249,255000,36.91432785987854,15,64
250,255000,0.9694857597351074,15,15
251,15000,1.3559112548828125,15,16
252,20000,1.8197219371795654,15,17
253,25000,2.146285057067871,15,18
254,30000,2.5534799098968506,15,19
255,35000,2.926978826522827,15,20
256,40000,3.3946170806884766,15,21
257,45000,3.8151087760925293,15,22
258,50000,4.4444420337677,15,23
259,55000,4.9101128578186035,15,24
260,60000,5.425334930419922,15,25
261,65000,5.931451082229614,15,26
262,70000,6.358733892440796,15,27
263,75000,6.9459450244903564,15,28
264,80000,7.592002868652344,15,29
265,85000,8.042232036590576,15,30
266,90000,8.500134944915771,15,31
267,95000,9.313894033432007,15,32
268,100000,9.827939748764038,15,33
269,105000,10.43724513053894,15,34
270,110000,11.064280033111572,15,35
271,115000,11.72005581855774,15,36
272,120000,12.463002920150757,15,37
273,125000,13.182875871658325,15,38
274,130000,13.846599102020264,15,39
275,135000,14.480004072189331,15,40
276,140000,15.210213899612427,15,41
277,145000,16.16861581802368,15,42
278,150000,16.62235736846924,15,43
279,155000,17.11674404144287,15,44
280,160000,24.424206972122192,15,45
281,165000,19.090986967086792,15,46
282,170000,19.23588800430298,15,47
283,175000,23.24440026283264,15,48
284,180000,24.295867919921875,15,49
285,185000,23.831738710403442,15,50
286,190000,23.24860692024231,15,51
287,195000,23.7361581325531,15,52
288,200000,25.216131925582886,15,53
289,205000,26.2026629447937,15,54
290,210000,27.667875051498413,15,55
291,215000,27.57724905014038,15,56
292,220000,28.20242404937744,15,57
293,225000,29.009461879730225,15,58
294,230000,29.80201292037964,15,59
295,235000,30.83382296562195,15,60
296,240000,31.889010190963745,15,61
297,245000,32.707074880599976,15,62
298,250000,33.7213659286499,15,63
299,255000,34.90955996513367,15,64
300,255000,0.9837472438812256,15,15
301,15000,1.313992977142334,15,16
302,20000,1.7498338222503662,15,17
303,25000,2.0664641857147217,15,18
304,30000,2.4548449516296387,15,19
305,35000,2.8352468013763428,15,20
306,40000,3.210663080215454,15,21
307,45000,3.6768200397491455,15,22
308,50000,4.13715386390686,15,23
309,55000,5.051209926605225,15,24
310,60000,5.128360986709595,15,25
311,65000,5.690652132034302,15,26
312,70000,6.233202219009399,15,27
313,75000,6.751092910766602,15,28
314,80000,7.289692163467407,15,29
315,85000,7.8011322021484375,15,30
316,90000,8.339001178741455,15,31
317,95000,8.885304927825928,15,32
318,100000,9.993168115615845,15,33
319,105000,10.487709283828735,15,34
320,110000,11.050467014312744,15,35
321,115000,11.536386013031006,15,36
322,120000,12.134474992752075,15,37
323,125000,12.89245319366455,15,38
324,130000,13.418529033660889,15,39
325,135000,14.570970058441162,15,40
326,140000,15.07790207862854,15,41
327,145000,15.72977876663208,15,42
328,150000,16.443013191223145,15,43
329,155000,17.263988256454468,15,44
330,160000,18.019981861114502,15,45
331,165000,18.875738859176636,15,46
332,170000,19.761029958724976,15,47
333,175000,20.9872989654541,15,48
334,180000,21.56221079826355,15,49
335,185000,22.267708778381348,15,50
336,190000,23.237905740737915,15,51
337,195000,24.364856004714966,15,52
338,200000,25.441997051239014,15,53
339,205000,26.28757619857788,15,54
